characters_araber;Araber
characters_butler;Butler
characters_frau;Frau
characters_ohi;Ohi
characters_wache;Wache
texts_a19_aussen_platz_abfluss_mo_ex_1__2;Examiner la grille d'égout
texts_a19_aussen_platz_abfluss_mo_used_mit_draht;Placer le fil dans la grille d'égout
spokentexts_a19_aussen_platz_abfluss_ex_1_st_1;Je ne veux pas ramper dans des égouts nauséabonds juste pour entrer dans le musée ! Il doit y avoir un autre moyen !
spokentexts_a19_aussen_platz_abfluss_ex_2_st_1;Il y a une grille en métal dans le caniveau pour éviter que les gens ne trébuchent. Impossible de voir ce qu'il y a en dessous.
spokentexts_a19_aussen_platz_abfluss_used_mit_draht_st_1;Hmm. Peut être que je peux remonter quelque chose depuis les égouts avec le fil ?
sequences_a19_aussen_platz_abfluss_used_mit_draht#2;[The Arab pulls out the wire, looks at the top. Then he puts the tip into the grate and breaks the rest of the wire.]
sequences_a19_aussen_platz_abfluss_used_mit_draht#3;[The Arab takes the wire out again, looks at his work. The tip of the wire is now hidden almost at right angles. He nods with satisfaction and inserts the wire deep into the drain.]
sequences_a19_aussen_platz_abfluss_used_mit_draht#4;[The Arab is stirring something back and forth.]
spokentexts_a19_aussen_platz_abfluss_used_mit_draht_st_2;Rien. Je n'arrive même pas à atteindre le fond.
sequences_a19_aussen_platz_abfluss_used_mit_draht#6;[The Arab pulls out the wire, takes it.]
spokentexts_a19_aussen_platz_abfluss_used_mit_draht_st_3;Ça valait le coup d'essayer.
texts_a19_aussen_platz_ausgang_seitenstrasse_mo_leave_1;Aller dans la rue transversale
sequences_a19_aussen_platz_ausgang_seitenstrasse_leave_1#1;[The Arab is leaving the scene, further in the side street.]
texts_a19_aussen_platz_ausgang_treppe_mo_leave_1;Aller vers l'entrée
sequences_a19_aussen_platz_ausgang_treppe_leave_1#1;[The Arab began to climb the first stairs.]
sequences_a19_aussen_platz_seq_a19_aussen_platz_ankunft#0;[You can see the museum from the outside. The Arab stand in front of it and considers it.]
sequences_a19_aussen_platz_seq_a19_aussen_platz_ankunft#1;[The Arab looks at the museum.]
spokentexts_a19_aussen_platz_seq_a19_aussen_platz_ankunft_st_1;Je n'ai pas le droit à l'erreur.
spokentexts_a19_aussen_platz_seq_a19_aussen_platz_ankunft_st_2;Une part de moi voudrait tout abandonner et rentrer en Europe.
sequences_a19_aussen_platz_seq_a19_aussen_platz_ankunft#4;[The young woman in a convertible is approaching, drives past the Arab. He looks at her, she acts as if she do not notice him.]
sequences_a19_aussen_platz_seq_a19_aussen_platz_ankunft#5;[Cut to the face of the young woman.]
sequences_a19_aussen_platz_seq_a19_aussen_platz_ankunft#6;[Blinks to the Arab encouragingly but unremarkable.]
sequences_a19_aussen_platz_seq_a19_aussen_platz_ankunft#7;[Cut back.]
spokentexts_a19_aussen_platz_seq_a19_aussen_platz_ankunft_st_3;Et si quelque chose tournait mal et Legrand était après nous ? Je ne supporterais pas qu'il lui arrive quoi que ce soit.
sequences_a19_aussen_platz_seq_a19_aussen_platz_ankunft#9;[The Arab turns toward side street, another deep breath.]
spokentexts_a19_aussen_platz_seq_a19_aussen_platz_ankunft_st_4;Le dernier acte. La fin du Corbeau...
sequences_a19_aussen_platz_seq_a19_aussen_platz_ankunft#11;[The Arab began to walk away towards the street.]
sequences_a19_aussen_platz_seq_a19_aussen_platz_ankunft_von_treppe#0;[The Arab goes down the last stairs, then stands at the beginning of the stairs.]
texts_a19_aussen_schild_mo_ex_1__2;Examiner la pancarte
spokentexts_a19_aussen_schild_ex_1_st_1_direction;reads
spokentexts_a19_aussen_schild_ex_1_st_1;"Aujourd'hui le musée est officiellement fermé à cause des préparatifs pour la grande exposition de ""l'Oeil du Sphinx""."
spokentexts_a19_aussen_schild_ex_2_st_1;Le Sphinx a toujours deux yeux sur l'affiche. Il devrait lui mettre un cache-oeil.
texts_a19_aussen_tuer_ausgang_museum_mo_leave_1-6;Entrer dans le musée
texts_a19_aussen_tuer_ausgang_museum_mo_leave_7;Se faufiler dans le musée
texts_a19_aussen_tuer_ausgang_museum_mo_used_mit_tennisball_1-3;Jeter la balle de tennis dans le musée
sequences_a19_aussen_tuer_ausgang_museum_leave_1#1;[The Arab goes to the museum. Next in the hall.]
spokentexts_a19_aussen_tuer_ausgang_museum_leave_2_st_1;Ça ne marchera pas. Le garde ne me laissera pas entrer avec de simples mots.
spokentexts_a19_aussen_tuer_ausgang_museum_leave_3_st_1;Prochain essai...
sequences_a19_aussen_tuer_ausgang_museum_leave_3#4;[The Arab goes to the museum. Next in the hall.]
spokentexts_a19_aussen_tuer_ausgang_museum_leave_4_st_1;Non. Déguisé ou non, le garde ne me laissera pas entrer si je ne suis pas un travailleur enregistré.
spokentexts_a19_aussen_tuer_ausgang_museum_leave_5_st_1;Même si je suis sur la liste des ouvriers... Je n'ai pas l'air d'en être un.
spokentexts_a19_aussen_tuer_ausgang_museum_leave_5_st_2;Le garde pourrait me reconnaître et ce serait terminé.
spokentexts_a19_aussen_tuer_ausgang_museum_leave_5_st_3;Je ferais mieux de me trouver une tenue adéquate pour être tranquille.
sequences_a19_aussen_tuer_ausgang_museum_leave_6#1;[The Arab goes to the museum. Next in the hall.]
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_1_st_1;Ca pourrait créer du tumulte dans le musée, mais est-ce vraiment nécessaire ?
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_2#1;[The Arab grabs into his pocket, pulls out a tennis ball and holds it towards the dog.]
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_2#2;[The dog comes jumped excitedly, sits in front of the Arab, wags his tail and secured the ball]
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_2_st_1_direction;speaks with dog
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_2_st_1;Alors ? Qui veut devenir complice dans un cambriolage ?
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_2#4;[The Arab moves the ball in front of the dog's head to the left and right, dog fixes with fascination the ball, can not wait.]
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_2_st_2_direction;speaks with dog
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_2_st_2;Oui, qui veut devenir complice ?
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_2#6;[The Arab gets up and tumbles the ball through the open door to the museum.]
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_2#7;[The dog is barking  after the ball in direction of  the museum.]
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3#1;[The Arab grabs into his pocket, pulls out a tennis ball and holds it towards the dog.]
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3#2;[The dog comes jumped excitedly, sits in front of the Arab, wags his tail and secured the ball]
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3#3;[The Arab gets up and tumbles the ball through the open door to the museum.]
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3#4;[The dog is barking behind the ball in the direction of the museum. The Arab pushes himself with his back at the door and waits.]
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3_st_1_direction;angry, a few meters away
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3_st_1;Stupide clébard...
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3_st_2_direction;angry, a few meters away
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3_st_2;Je t'aurai cette fois !
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3#7;[The dog comes with the ball in his mouth from the museum and is running for the stairs. There he stops and turns to the door.]
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3#8;[From the door the guard comes running. He runs to the dog. Dog gets scared and runs a little further down the stairs. The guard  threatens the dog.]
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3_st_3_direction;angry
spokentexts_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3_st_3;La prochaine fois !
sequences_a19_aussen_tuer_ausgang_museum_used_mit_tennisball_3#10;[Now the player has 3 seconds to click on the door (everything else is disabled). Mouseover: Sneak into the museum].
texts_a19_aussen_tuer_ausgang_treppe_mo_leave_1;Aller en bas
texts_a19_aussen_tuer_ausgang_treppe_mo_used_mit_tennisball_1__2;Lancer la balle de tennis dans les escaliers
sequences_a19_aussen_tuer_ausgang_treppe_leave_1#1;[The Arab began to descend the stairs.]
sequences_a19_aussen_tuer_ausgang_treppe_used_mit_tennisball_1#1;[See the top dog.]
sequences_a19_aussen_tuer_ausgang_treppe_used_mit_tennisball_2#1;[See the top dog.]
texts_a19_aussen_tuer_hund_mo_ex_1-4;Regarder le chien
texts_a19_aussen_tuer_hund_mo_talk_mit_1;Parler au chien
texts_a19_aussen_tuer_hund_mo_used_mit_tennisball_1__2;Jouer avec le chien
spokentexts_a19_aussen_tuer_hund_ex_1_st_1;J'aime les chiens. J'avais un border collie à la maison. Il me suivait partout. Il était très âgé, mais c'était l'ami le plus loyal qu'on pouvait trouver.
spokentexts_a19_aussen_tuer_hund_ex_2_st_1;J'aimerais continuer à jouer avec le chiot, mais ça ne risque pas de m'aider à entrer dans le musée.
spokentexts_a19_aussen_tuer_hund_ex_3_st_1;Le petit chien adore la balle.
spokentexts_a19_aussen_tuer_hund_ex_3_st_2;Peut être que ça pourrait m'être utile...
spokentexts_a19_aussen_tuer_hund_ex_4_st_1;Quand il s'agit de distraire les gardes, mon petit ami fait du beau boulot !
sequences_a19_aussen_tuer_hund_talk_mit_1#1;[The Arab kneels or bends down to the dog. The dog is jumping around excitedly.]
spokentexts_a19_aussen_tuer_hund_talk_mit_1_st_1_direction;speaks with dog
spokentexts_a19_aussen_tuer_hund_talk_mit_1_st_1;Qui est un bon chien ?
sequences_a19_aussen_tuer_hund_talk_mit_1#3;[The dog jumps in the vicinity of the Arab, the Arab caresses and fondles him and the dog is happy.]
spokentexts_a19_aussen_tuer_hund_talk_mit_1_st_2_direction;speaks with dog
spokentexts_a19_aussen_tuer_hund_talk_mit_1_st_2;Oui, qui est un bon chien alors ?
sequences_a19_aussen_tuer_hund_talk_mit_1#5;[The dog jumps joyfully away from the Arab and the Arab stands up again.]
spokentexts_a19_aussen_tuer_hund_talk_mit_1_st_3;Bon chien. 
spokentexts_a19_aussen_tuer_hund_used_mit_tennisball_1_st_1;Oui... Ca pourrait être parfait !
sequences_a19_aussen_tuer_hund_used_mit_tennisball_1#2;[The Arab grabs into his pocket, pulls out a tennis ball and holds it towards the dog.]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_1#3;[The dog comes jumped excitedly, sits in front of the Arab, wags his tail and secured the ball]
spokentexts_a19_aussen_tuer_hund_used_mit_tennisball_1_st_2_direction;speaks with dog
spokentexts_a19_aussen_tuer_hund_used_mit_tennisball_1_st_2;Tu la veux ?
sequences_a19_aussen_tuer_hund_used_mit_tennisball_1#5;[The Arab moves the ball in front of the dog's head to the left and right, dog fixes with fascination the ball, can not wait.]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_1#6;[The Arab gets up and throws the ball down the stairs.]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_1#7;[Cut to the square in front of the museum.]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_1#8;[While the Arab stands up there and waits, the dog runs after the ball that bounces down the stairs.]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_1#9;[At the bottom of the stairs, the dog jumps into the air and catches the ball then he runs at full speed up the stairs.]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_1#10;[Cut back to the door.]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_1#11;[The Arab takes the dog, strokes his head and takes the ball.]
spokentexts_a19_aussen_tuer_hund_used_mit_tennisball_1_st_3_direction;speaks with dog
spokentexts_a19_aussen_tuer_hund_used_mit_tennisball_1_st_3;Oui, tu aimes ça, n'est-ce pas ?
sequences_a19_aussen_tuer_hund_used_mit_tennisball_1#13;[The Arab gets up again and takes the ball, the dog returns to its original position.]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_2#1;[The Arab grabs into his pocket, pulls out a tennis ball and throws it down stairs.]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_2#2;[The dog runs after the ball (out of the picture).]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_2#3;[The Arab is waiting a short moment, then the dogwith the ball in his mouth comes into the picture.]
sequences_a19_aussen_tuer_hund_used_mit_tennisball_2#4;[The Arab takes the dog, strokes his head and takes the ball.]
spokentexts_a19_aussen_tuer_hund_used_mit_tennisball_2_st_1_direction;speaks with dog
spokentexts_a19_aussen_tuer_hund_used_mit_tennisball_2_st_1;Bon chien !
sequences_a19_aussen_tuer_hund_used_mit_tennisball_2#6;[The Arab gets up again and takes the ball, the dog returns to its original position.]
sequences_a19_aussen_tuer_seq_a19_aussen_tuer_ankunft_von_treppe#0;[The Arab goes up the last stairs, then stands at the top of the stairs.]
sequences_a19_aussen_tuer_seq_a19_aussen_tuer_araber_schluepft_durch_tuer#0;[The Arab slips through the door into the interior of the museum, out of sight.]
sequences_a19_aussen_tuer_seq_a19_aussen_tuer_araber_schluepft_durch_tuer#1;"[The guard shrugs annoyed ""who cares"", turns around and walks toward the door.]"
sequences_a19_aussen_tuer_seq_a19_aussen_tuer_ball_erstmalig_ende#0;[The dog comes running  out of the museum, puts the ball on the floor and iswaiting, tail wagging. The Arab has positioned something besie, so that the guards can not see him.]
spokentexts_a19_aussen_tuer_seq_a19_aussen_tuer_ball_erstmalig_ende_st_1;Tu t'es fait un ennemi, mon petit !
sequences_a19_aussen_tuer_seq_a19_aussen_tuer_wache_geht_zurueck#0;[The guard shrugs annoyed, turns around and goes back to the museum.]
sequences_a19_aussen_tuer_seq_a19_aussen_tuer_wache_geht_zurueck#1;[As soon as the guard turns around, the Arab takes an unsuspecting emphasizes attitude, maybe he looks with his hand over his eyes interested in direction of the city or scratches on the walls around the museum etc.]
sequences_a19_aussen_tuer_seq_a19_aussen_tuer_wache_geht_zurueck#2;[As soon as the guard is in the door, the Arab amkes a quick look at hiim and goes back to its normal position.]
sequences_a19_aussen_tuer_seq_a19_aussen_tuer_wache_geht_zurueck#3;[At the same time, the dog will run up the stairs, lays the ball off with his tail wagging.]
texts_a19_dach_ausgang_rabennest_mo_leave_1;Entrer dans le grenier
sequences_a19_dach_ausgang_rabennest_leave_1#1;[The Arab pulls the door and climb through the opening.]
sequences_a19_dach_ausgang_rabennest_leave_1#2;[Next in Rabennest (section 20).]
texts_a19_dach_ausgang_seite_mo_leave_1;Descendre
sequences_a19_dach_ausgang_seite_leave_1#1;[The Arab jumps onto the ladder begins to climb down.]
texts_a19_dach_oberlicht_mo_ex_1__2;Regarder par la verrière
sequences_a19_dach_oberlicht_ex_1#1;[The Arab will set a foot on the rim of the light and bows over, so that he can see down.]
spokentexts_a19_dach_oberlicht_ex_1_st_1;"Il y a une petite pièce en bas. Surement la ""salle au trésor"" du musée, si je me fie à mon sens de l'orientation."
spokentexts_a19_dach_oberlicht_ex_1_st_2;La salle au trésor est en bas. Et en dessous se trouve la cave secrète...
sequences_a19_dach_oberlicht_ex_1#7;[The Arab pulls his foot back, is back again as normal.]
sequences_a19_dach_oberlicht_ex_2#1;[The Arab will set a foot on the rim of the light and bows over, so that he can see down.]
spokentexts_a19_dach_oberlicht_ex_2_st_1;Aucun signe de l'Oeil ou de Legrand. Ils ne devraient plus tarder.
sequences_a19_dach_oberlicht_ex_2#3;[The Arab pulls his foot back, is back again as normal.]
texts_a19_dach_schornstein_mo_ex_1-5;Examiner la cheminée
texts_a19_dach_schornstein_mo_ex_3-5;Examiner le mur
sequences_a19_dach_schornstein_ex_1#1;[The Arab put his hand at the chimney.]
