characters_araber;Araber
characters_arzt;Arzt
characters_baronin;Baronin
characters_butler;Butler
characters_ermittler;Ermittler
characters_frau;Frau
characters_geiger;Geiger
characters_kapitaen;Kapitaen
characters_ohi;Ohi
characters_pflegerin;Pflegerin
characters_schriftstellerin;Schriftstellerin
characters_wachmann;Wachmann
texts_a16_hinterdeck_ausgang_nebendeck_mo_leave_1;Allez à l'avant
sequences_a16_hinterdeck_ausgang_nebendeck_leave_1#1;[The young woman heads to the side deck.]
texts_a16_hinterdeck_ausgang_salon_mo_leave_1;Entrer dans le saloon
sequences_a16_hinterdeck_ausgang_salon_leave_1#1;[The young woman heads to the salon.]
texts_a16_hinterdeck_badetuch_mo_ex_1;Examiner la serviette de bain
texts_a16_hinterdeck_badetuch_mo_inventar;Serviette de bain
texts_a16_hinterdeck_badetuch_mo_take_1__2;Prendre la serviette de bain
spokentexts_a16_hinterdeck_badetuch_ex_1_st_1;Une grande et belle serviette.
spokentexts_a16_hinterdeck_badetuch_ex_1_st_2;J'espère que demain j'aurais une chance de prendre le soleil et de profiter du reste du voyage.
spokentexts_a16_hinterdeck_badetuch_ex_2_st_1;J'aurais dû être créatrice de mode !
sequences_a16_hinterdeck_badetuch_take_1#2;[The young woman takes the bath towel and covers her shoulders with it.]
sequences_a16_hinterdeck_badetuch_take_1#3;[The young woman wears the bath towel as a garment now.]
spokentexts_a16_hinterdeck_badetuch_take_1_st_3_direction;puzzled
spokentexts_a16_hinterdeck_badetuch_take_1_st_3;Hé, Que faites-vous ?  
spokentexts_a16_hinterdeck_badetuch_take_1_st_4;Oh, rien. Je voulais m'asseoir sur le gaillard et profiter des étoiles sans abîmer ma robe.
spokentexts_a16_hinterdeck_badetuch_take_1_st_5;Ah, les étoiles. Joli spectacle !
texts_a16_hinterdeck_liegestuhl_mo_ex_1;Examiner la chaise longue
texts_a16_hinterdeck_liegestuhl_mo_used_mit_handtuch;Réserver une chaise longue
spokentexts_a16_hinterdeck_liegestuhl_ex_1_st_1;Une chaise longue au soleil sur un bateau de croisière. Je serais folle de passer à côté de cela demain.
spokentexts_a16_hinterdeck_liegestuhl_ex_1_st_2;Mais je dois m'occuper de mes tâches avant de pouvoir me détendre au soleil.
